Generation,BestFitness,Reached End,Steps
659,1086,True,114
660,1086,True,114
661,1086,True,114
662,1086,True,114
663,1086,True,114
664,1086,True,114
665,1086,True,114
666,1086,True,114
667,1086,True,114
668,1086,True,114
669,1086,True,114
670,1086,True,114
671,1086,True,114
672,1086,True,114
673,1086,True,114
674,1086,True,114
675,1086,True,114
676,1086,True,114
677,1086,True,114
678,1086,True,114
679,1086,True,114
680,1086,True,114
681,1086,True,114
682,1086,True,114
683,1086,True,114
684,1086,True,114
685,1086,True,114
686,1086,True,114
687,1086,True,114
688,1086,True,114
689,1086,True,114
690,1086,True,114
691,1086,True,114
692,1086,True,114
693,1086,True,114
694,1086,True,114
695,1086,True,114
696,1086,True,114
697,1086,True,114
698,1086,True,114
699,1086,True,114
700,1086,True,114
701,1086,True,114
702,1086,True,114
703,1086,True,114
704,1086,True,114
705,1086,True,114
706,1086,True,114
707,1086,True,114
708,1086,True,114
709,1086,True,114
710,1086,True,114
711,1086,True,114
712,1086,True,114
713,1086,True,114
714,1086,True,114
715,1086,True,114
716,1086,True,114
717,1086,True,114
718,1086,True,114
719,1086,True,114
720,1086,True,114
721,1086,True,114
722,1086,True,114
723,1086,True,114
724,1086,True,114
725,1086,True,114
726,1086,True,114
727,1086,True,114
728,1086,True,114
729,1086,True,114
730,1086,True,114
731,1086,True,114
732,1086,True,114
733,1086,True,114
734,1086,True,114
735,1086,True,114
736,1086,True,114
737,1086,True,114
738,1086,True,114
739,1086,True,114
740,1086,True,114
741,1086,True,114
742,1086,True,114
743,1086,True,114
744,1088,True,112
745,1088,True,112
746,1088,True,112
747,1088,True,112
748,1088,True,112
749,1088,True,112
750,1089,True,111
751,1089,True,111
752,1089,True,111
753,1089,True,111
754,1089,True,111
755,1089,True,111
756,1089,True,111
757,1089,True,111
758,1090,True,110
759,1090,True,110
760,1090,True,110
761,1090,True,110
762,1090,True,110
763,1091,True,109
764,1091,True,109
765,1091,True,109
766,1091,True,109
767,1091,True,109
768,1091,True,109
769,1091,True,109
770,1091,True,109
771,1091,True,109
772,1091,True,109
773,1091,True,109
774,1091,True,109
775,1091,True,109
776,1091,True,109
777,1091,True,109
778,1091,True,109
779,1091,True,109
780,1091,True,109
781,1091,True,109
782,1091,True,109
783,1091,True,109
784,1091,True,109
785,1091,True,109
786,1091,True,109
787,1091,True,109
788,1091,True,109
789,1091,True,109
790,1091,True,109
791,1091,True,109
792,1091,True,109
793,1091,True,109
794,1091,True,109
795,1091,True,109
796,1091,True,109
797,1091,True,109
798,1091,True,109
799,1091,True,109
800,1091,True,109
801,1091,True,109
802,1091,True,109
803,1091,True,109
804,1091,True,109
805,1091,True,109
806,1091,True,109
807,1091,True,109
808,1091,True,109
809,1091,True,109
810,1091,True,109
811,1091,True,109
812,1091,True,109
813,1091,True,109
814,1091,True,109
815,1091,True,109
816,1091,True,109
817,1091,True,109
818,1091,True,109
819,1091,True,109
820,1091,True,109
821,1091,True,109
822,1091,True,109
823,1091,True,109
824,1091,True,109
825,1091,True,109
826,1091,True,109
827,1091,True,109
828,1091,True,109
829,1091,True,109
830,1091,True,109
831,1091,True,109
832,1091,True,109
833,1091,True,109
834,1091,True,109
835,1091,True,109
836,1091,True,109
837,1091,True,109
838,1091,True,109
839,1091,True,109
840,1091,True,109
841,1091,True,109
842,1091,True,109
843,1091,True,109
844,1091,True,109
845,1091,True,109
846,1091,True,109
847,1091,True,109
848,1091,True,109
849,1091,True,109
850,1091,True,109
851,1091,True,109
852,1091,True,109
853,1091,True,109
854,1091,True,109
855,1091,True,109
856,1091,True,109
857,1091,True,109
858,1091,True,109
859,1091,True,109
860,1091,True,109
861,1091,True,109
862,1091,True,109
863,1091,True,109
864,1091,True,109
865,1091,True,109
866,1091,True,109
867,1091,True,109
868,1091,True,109
869,1091,True,109
870,1091,True,109
871,1091,True,109
872,1091,True,109
873,1091,True,109
874,1091,True,109
875,1091,True,109
876,1091,True,109
877,1091,True,109
878,1091,True,109
879,1091,True,109
880,1091,True,109
881,1091,True,109
882,1091,True,109
883,1091,True,109
884,1091,True,109
885,1091,True,109
886,1091,True,109
887,1091,True,109
888,1091,True,109
889,1091,True,109
890,1091,True,109
891,1091,True,109
892,1091,True,109
893,1091,True,109
894,1091,True,109
895,1091,True,109
896,1091,True,109
897,1091,True,109
898,1091,True,109
899,1091,True,109
900,1091,True,109
901,1091,True,109
902,1091,True,109
903,1091,True,109
904,1091,True,109
905,1091,True,109
906,1091,True,109
907,1091,True,109
908,1091,True,109
909,1091,True,109
910,1091,True,109
911,1091,True,109
912,1091,True,109
913,1091,True,109
914,1091,True,109
915,1091,True,109
916,1091,True,109
917,1091,True,109
918,1091,True,109
919,1091,True,109
920,1091,True,109
921,1091,True,109
922,1091,True,109
923,1091,True,109
924,1091,True,109
925,1091,True,109
926,1091,True,109
927,1091,True,109
928,1091,True,109
929,1091,True,109
930,1091,True,109
931,1091,True,109
932,1091,True,109
933,1091,True,109
934,1091,True,109
935,1091,True,109
936,1091,True,109
937,1091,True,109
938,1091,True,109
939,1091,True,109
940,1091,True,109
941,1091,True,109
942,1091,True,109
943,1091,True,109
944,1091,True,109
945,1091,True,109
946,1091,True,109
947,1091,True,109
948,1091,True,109
949,1091,True,109
950,1091,True,109
951,1091,True,109
952,1091,True,109
953,1091,True,109
954,1091,True,109
955,1091,True,109
956,1091,True,109
957,1091,True,109
958,1091,True,109
959,1091,True,109
960,1091,True,109
961,1091,True,109
962,1091,True,109
963,1091,True,109
964,1091,True,109
965,1091,True,109
966,1091,True,109
967,1091,True,109
968,1091,True,109
969,1091,True,109
970,1091,True,109
971,1091,True,109
972,1091,True,109
973,1091,True,109
974,1091,True,109
975,1091,True,109
976,1091,True,109
977,1091,True,109
978,1091,True,109
979,1091,True,109
980,1091,True,109
981,1091,True,109
982,1091,True,109
983,1091,True,109
984,1091,True,109
985,1091,True,109
986,1091,True,109
987,1091,True,109
988,1091,True,109
989,1091,True,109
990,1091,True,109
991,1091,True,109
992,1091,True,109
993,1091,True,109
994,1091,True,109
995,1091,True,109
996,1091,True,109
997,1091,True,109
998,1091,True,109
999,1091,True,109
