Episode,Steps,Epsilon
384,102,0.6122876172215085
385,119,0.6116753296042869
386,121,0.6110636542746827
387,64,0.610452590620408
388,150,0.6098421380297876
389,94,0.6092322958917578
390,119,0.608623063595866
391,98,0.6080144405322702
392,84,0.6074064260917379
393,99,0.6067990196656462
394,114,0.6061922206459806
395,95,0.6055860284253346
396,99,0.6049804423969093
397,86,0.6043754619545124
398,83,0.603771086492558
399,123,0.6031673154060654
400,93,0.6025641480906593
401,100,0.6019615839425686
402,109,0.6013596223586261
403,90,0.6007582627362674
404,130,0.6001575044735311
405,131,0.5995573469690576
406,106,0.5989577896220886
407,116,0.5983588318324665
408,145,0.5977604730006341
409,86,0.5971627125276334
410,91,0.5965655498151058
411,102,0.5959689842652907
412,121,0.5953730152810254
413,94,0.5947776422657444
414,134,0.5941828646234786
415,154,0.5935886817588552
416,146,0.5929950930770963
417,114,0.5924020979840192
418,126,0.5918096958860352
419,159,0.5912178861901491
420,103,0.590626668303959
421,94,0.590036041635655
422,104,0.5894460055940194
423,65,0.5888565595884253
424,99,0.5882677030288369
425,101,0.587679435325808
426,95,0.5870917558904822
427,129,0.5865046641345918
428,103,0.5859181594704572
429,96,0.5853322413109867
430,125,0.5847469090696757
431,108,0.5841621621606061
432,99,0.5835779999984455
433,128,0.5829944219984471
434,96,0.5824114275764486
435,100,0.5818290161488722
436,132,0.5812471871327233
437,135,0.5806659399455906
438,114,0.580085274005645
439,105,0.5795051887316394
440,92,0.5789256835429077
441,78,0.5783467578593648
442,81,0.5777684111015055
443,80,0.577190642690404
444,125,0.5766134520477136
445,57,0.5760368385956659
446,95,0.5754608017570703
447,66,0.5748853409553132
448,133,0.5743104556143579
449,113,0.5737361451587435
450,95,0.5731624090135847
451,85,0.5725892466045711
452,113,0.5720166573579666
453,84,0.5714446407006086
454,104,0.570873196059908
455,82,0.5703023228638482
456,139,0.5697320205409844
457,90,0.5691622885204434
458,102,0.5685931262319229
459,89,0.568024533105691
460,113,0.5674565085725853
461,107,0.5668890520640127
462,78,0.5663221630119487
463,93,0.5657558408489367
464,101,0.5651900850080878
465,89,0.5646248949230797
466,84,0.5640602700281566
467,97,0.5634962097581284
468,109,0.5629327135483703
469,86,0.5623697808348219
470,92,0.5618074110539871
471,121,0.5612456036429332
472,122,0.5606843580392903
473,70,0.560123673681251
474,85,0.5595635500075697
475,76,0.5590039864575622
476,71,0.5584449824711046
477,66,0.5578865374886335
478,120,0.5573286509511448
479,95,0.5567713223001937
480,81,0.5562145509778935
481,102,0.5556583364269156
482,106,0.5551026780904887
483,128,0.5545475754123983
484,126,0.5539930278369859
485,110,0.5534390348091489
486,96,0.5528855957743397
487,97,0.5523327101785653
488,116,0.5517803774683868
489,94,0.5512285970909184
490,95,0.5506773684938275
491,94,0.5501266911253337
492,108,0.5495765644342084
493,98,0.5490269878697742
494,96,0.5484779608819045
495,78,0.5479294829210226
496,108,0.5473815534381016
497,118,0.5468341718846634
498,113,0.5462873377127788
499,92,0.545741050375066
500,78,0.545195309324691
501,81,0.5446501140153662
502,96,0.5441054639013508
503,133,0.5435613584374495
504,85,0.543017797079012
505,91,0.542474779281933
506,98,0.5419323045026511
507,95,0.5413903721981485
508,101,0.5408489818259503
509,85,0.5403081328441244
510,102,0.5397678247112803
511,76,0.5392280568865689
512,103,0.5386888288296824
513,80,0.5381501400008527
514,116,0.5376119898608519
515,113,0.5370743778709911
516,92,0.5365373034931201
517,78,0.536000766189627
518,86,0.5354647654234373
519,86,0.5349293006580139
520,97,0.5343943713573559
521,91,0.5338599769859985
522,112,0.5333261170090126
523,114,0.5327927908920036
524,89,0.5322599981011116
525,70,0.5317277381030104
526,93,0.5311960103649074
527,85,0.5306648143545425
528,95,0.5301341495401879
529,92,0.5296040153906477
530,91,0.5290744113752571
531,84,0.5285453369638818
532,86,0.528016791626918
533,97,0.527488774835291
534,136,0.5269612860604557
535,73,0.5264343247743952
536,84,0.5259078904496208
537,73,0.5253819825591712
538,104,0.5248566005766121
539,124,0.5243317439760354
540,86,0.5238074122320594
541,98,0.5232836048198274
542,100,0.5227603212150076
543,97,0.5222375608937926
544,167,0.5217153233328988
545,82,0.5211936080095659
546,99,0.5206724144015563
547,103,0.5201517419871547
548,93,0.5196315902451676
549,101,0.5191119586549224
550,106,0.5185928466962675
551,82,0.5180742538495712
552,57,0.5175561795957216
553,99,0.5170386234161259
554,94,0.5165215847927098
555,73,0.5160050632079171
556,88,0.5154890581447091
557,80,0.5149735690865644
558,65,0.5144585955174779
559,93,0.5139441369219604
560,115,0.5134301927850384
561,84,0.5129167625922534
562,85,0.5124038458296611
563,93,0.5118914419838315
564,84,0.5113795505418477
565,94,0.5108681709913059
566,104,0.5103573028203146
567,105,0.5098469455174942
568,115,0.5093370985719767
569,85,0.5088277614734048
570,67,0.5083189337119314
571,72,0.5078106147782194
572,76,0.5073028041634412
573,72,0.5067955013592778
574,79,0.5062887058579185
575,93,0.5057824171520606
576,88,0.5052766347349086
577,117,0.5047713581001737
578,84,0.5042665867420736
579,91,0.5037623201553315
580,90,0.5032585578351761
581,73,0.502755299277341
582,83,0.5022525439780636
583,88,0.5017502914340856
584,89,0.5012485411426515
585,93,0.5007472926015089
586,89,0.5002465453089073
587,101,0.49974629876359844
588,85,0.49924655246483485
589,72,0.49874730591237
590,104,0.4982485586064576
591,94,0.49775031004785114
592,83,0.4972525597378033
593,67,0.4967553071780655
594,78,0.4962585518708874
595,75,0.4957622933190165
596,74,0.4952665310256975
597,75,0.4947712644946718
598,84,0.49427649323017714
599,99,0.49378221673694694
600,74,0.49328843452021
601,88,0.49279514608568975
602,81,0.49230235093960406
603,81,0.49181004858866445
604,106,0.4913182385400758
605,93,0.4908269203015357
606,83,0.49033609338123413
607,95,0.4898457572878529
608,61,0.48935591153056507
609,96,0.4888665556190345
610,95,0.4883776890634155
611,84,0.4878893113743521
612,86,0.48740142206297776
613,70,0.48691402064091477
614,63,0.48642710662027383
615,86,0.48594067951365355
616,81,0.4854547388341399
617,81,0.48496928409530576
618,90,0.48448431481121046
619,74,0.4839998304963993
620,83,0.48351583066590287
621,79,0.48303231483523695
622,65,0.4825492825204017
623,63,0.4820667332378813
624,74,0.48158466650464343
625,94,0.48110308183813877
626,70,0.48062197875630064
627,74,0.4801413567775443
628,96,0.4796612154207668
629,93,0.479181554205346
630,80,0.4787023726511407
631,71,0.47822367027848955
632,76,0.47774544660821106
633,84,0.47726770116160283
634,91,0.47679043346044125
635,73,0.4763136430269808
636,97,0.47583732938395384
637,69,0.4753614920545699
638,84,0.47488613056251533
